Name,Rating,Ranked,Popularity,Members,Type
Hakken Taiken Daisuki! Shimajirou,6.16,8999,Apr 2008 - Mar 2010,546 members,TV
Happyakuyachou Hyouri Kewaishi,6.16,9000,Oct 1990 - Apr 1991,"1,110 members",TV
Highspeed Etoile,6.16,9001,Apr 2024 - Jun 2024,"17,020 members",TV
Ikkyuu-san to Yancha Hime,6.16,9002,Mar 1978 - Mar 1978,497 members,Movie
Instant History,6.16,9003,May 1961 - Feb 1962,"1,024 members",TV
Ai Shoujo Pollyanna Story Specials,6.15,9004,Apr 2001 - Apr 2001,712 members,TV
Akadou Suzunosuke,6.15,9005,Apr 1972 - Mar 1973,"1,234 members",TV
"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku",6.15,9006,Aug 2015 - Aug 2015,491 members,TV
Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie,6.15,9007,Dec 1998 - Dec 1998,"1,663 members",Movie
Chou Tokkyuu Hikarian,6.15,9008,Apr 1997 - Mar 2000,973 members,TV
Cinderella Girls Gekijou 3rd Season Specials,6.15,9009,Aug 2018 - Oct 2018,"1,528 members",Special
Closers: Side Blacklambs,6.15,9010,Dec 2016 - Jan 2019,"19,518 members",ONA
"Deemo Movie: Sakura no Oto - Anata no Kanadeta Oto ga, Ima mo Hibiku",6.15,9011,Feb 2022 - Feb 2022,"11,979 members",Movie
Dokaben,6.15,9012,Oct 1976 - Dec 1979,"1,657 members",TV
Dragon Collection,6.15,9013,Apr 2014 - Mar 2015,"5,795 members",TV
Eevee to Colorful Friends,6.15,9014,May 2017 - May 2017,"3,174 members",ONA
Elf-ban Kakyuusei: Anata dake wo Mitsumete...,6.15,9015,Nov 1997 - Jun 1998,"4,273 members",OVA
Ensemble Stars! Recap Special,6.15,9016,Sep 2019 - Sep 2019,"2,279 members",TV
Fantasista Doll,6.15,9017,Jul 2013 - Sep 2013,"27,840 members",TV
Gakkou no Kaidan Recaps,6.15,9018,Nov 2000 - Jan 2001,"2,509 members",TV
Gall Force: Chikyuu Shou,6.15,9019,Dec 1989 - Dec 1990,"3,786 members",OVA
Ginga Tetsudou 999: Niji no Michishirube,6.15,9020,Jul 2001 - Jul 2001,"1,002 members",Movie
Gundam Breaker: Battlogue,6.15,9021,Oct 2021 - Nov 2021,"4,959 members",ONA
Gunjou no Fanfare,6.15,9022,Apr 2022 - Jun 2022,"25,832 members",TV
Harukanaru Toki no Naka de: Hachiyou Shou Recap,6.15,9023,Jul 2006 - Jul 2006,"1,031 members",Special
Hashire! Shiroi Ookami,6.15,9024,Apr 1990 - Apr 1990,"1,876 members",Movie
Heibai Wushang,6.15,9025,Jul 2015 - Feb 2016,"11,483 members",ONA
Hi☆sCoool! SeHa Girls Special,6.15,9026,Nov 2016 - Nov 2016,"1,129 members",Special
Hoshi no Ko Chobin,6.15,9027,Apr 1974 - Sep 1974,"1,234 members",TV
Iron Man: Rise of Technovore,6.15,9028,Apr 2013 - Apr 2013,"8,873 members",OVA
Kagaku Ninja-tai Gatchaman (Movie),6.15,9029,Jul 1978 - Jul 1978,"1,967 members",Movie
Kinnikuman: Seigi Choujin vs. Kodai Choujin,6.15,9030,Mar 1985 - Mar 1985,"1,419 members",Movie
Koisuru Asteroid: Kirakira Zoukan-gou,6.15,9031,Jan 2020 - Mar 2020,"2,897 members",ONA
Koutsuu Anzen da yo Doraemon,6.15,9032,1981 - 1981,739 members,Movie
Kuroi Kikori to Shiroi Kikori,6.15,9033,Jul 1956 - Jul 1956,"1,449 members",Movie
Maido! Urayasu Tekkin Kazoku,6.15,9034,Jul 2014 - Dec 2014,"1,334 members",TV
Majutsushi Orphen Hagure Tabi: Urbanrama-hen,6.15,9035,Jan 2023 - Apr 2023,"17,488 members",TV
Manga Nippon Mukashibanashi (1976),6.15,9036,Jan 1976 - Sep 1994,"2,106 members",TV
Meitantei Conan: Pyramid kara no Chousenjou!,6.15,9037,Jun 2001 - Jun 2001,"2,473 members",OVA
Muramasa,6.15,9038,Aug 1987 - Aug 1987,"5,998 members",Movie
Nana Toshi Monogatari: Hokkyokukai Sensen,6.15,9039,Jun 1994 - Jun 1994,"3,346 members",OVA
Onikiri Musume Saisen,6.15,9040,Aug 2014 - Aug 2014,847 members,ONA
Oraa Guzura Dado (1987),6.15,9041,Oct 1987 - Sep 1988,"1,009 members",TV
Oyako wa Tsuzuku yo,6.15,9042,2017 - 2017,345 members,ONA
Sci-Fi Harry,6.15,9043,Oct 2000 - Mar 2001,"9,958 members",TV
Sengoku Musou: Sengoku Musou High School,6.15,9044,May 2015 - Aug 2015,"1,706 members",Special
Sengoku Night Blood,6.15,9045,Oct 2017 - Dec 2017,"47,199 members",TV
Seupideuwang Beongae,6.15,9046,May 1998 - Aug 1998,785 members,TV
Shin-Men,6.15,9047,Nov 2010 - Sep 2012,"1,892 members",TV
Sore Ike! Anpanman: Shabondama no Purun,6.15,9048,Jul 2007 - Jul 2007,696 members,Movie
Space☆Dandy Picture Drama,6.15,9049,Jul 2014 - Aug 2014,"5,661 members",Special
Stand My Heroes: Warmth of Memories,6.15,9050,May 2023 - May 2023,"2,731 members",OVA
Stitch! Itazura Alien no Daibouken,6.15,9051,Oct 2009 - Jun 2010,"2,792 members",TV
Super Shiro,6.15,9052,Oct 2019 - Sep 2020,"2,678 members",TV
Sword Art Online: Sword Art Offline,6.15,9053,Oct 2012 - Jun 2013,"91,640 members",Special
Takoyaki Mant-Man,6.15,9054,Apr 1998 - Sep 1999,668 members,TV
Tanuki to Kitsune,6.15,9055,Feb 2018 - Mar 2018,805 members,ONA
Tetsuwan Atom: Uchuu no Yuusha,6.15,9056,Jul 1964 - Jul 1964,"2,295 members",Movie
Toilet no Hanako-san,6.15,9057,Jun 1996 - Jun 1996,"1,787 members",Movie
TV Yarou Nanaana: Wakuwaku Doukutsu Land,6.15,9058,Apr 2019 - Sep 2019,"1,490 members",TV
TV-ban Pokemon Special Masara Town-hen Recaps,6.15,9059,Sep 2000 - Sep 2000,"3,465 members",OVA
UniteUp! Furikaeranai to,6.15,9060,Mar 2023 - Mar 2023,847 members,TV
Wakakusa Monogatari,6.15,9061,May 1980 - May 1980,"1,430 members",TV
Wo de Yi Jie Zhi Lu,6.15,9062,Jan 2022 - May 2022,"2,062 members",ONA
Xi Avant,6.15,9063,Mar 2011 - Mar 2011,"3,451 members",Movie
Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen,6.15,9064,Oct 1997 - Dec 1997,"1,072 members",OVA
Sazae-san,6.14,9065,Oct 1969 -,"8,721 members",TV
Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako! Specials,6.14,9066,Oct 2006 - Oct 2006,"5,379 members",Special
Shin Koihime†Musou OVA Omake,6.14,9067,Jul 2010 - Jul 2010,"2,042 members",Special
Shounen Ashibe: Go! Go! Goma-chan,6.14,9068,Apr 2016 - Feb 2017,"3,036 members",TV
Subarashiki Kono Sekai The Animation,6.14,9069,Apr 2021 - Jun 2021,"74,245 members",TV
Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,6.14,9070,Sep 2003 - Sep 2003,"1,214 members",Movie
Time-Patrol Bon: Fujiko F. Fujio Anime Special - SF Adventure,6.14,9071,Oct 1989 - Oct 1989,899 members,TV
Umezu Kazuo no Noroi,6.14,9072,Mar 1990 - Mar 1990,"9,178 members",OVA
Wei Wo Du Shen,6.14,9073,Feb 2021 - Jul 2021,"1,536 members",ONA
Wind: A Breath of Heart OVA,6.14,9074,Jun 2004 - Dec 2004,"3,352 members",OVA
Yatterman Specials,6.14,9075,May 2008 - Nov 2008,801 members,Special
Yatterman the Movie: Shin Yattermecha Dai Shuugou! Omocha no Kuni de Dai Ketsudan da Koron,6.14,9076,Aug 2009 - Aug 2009,"1,176 members",Movie
Zhen Gyi Hong Shi,6.14,9077,Oct 2014 - Nov 2014,742 members,TV
2.43: Seiin Koukou Danshi Volley-bu,6.14,9078,Jan 2021 - Mar 2021,"115,163 members",TV
Ai Tenchi Muyou!,6.14,9079,Oct 2014 - Dec 2014,"37,204 members",TV
Akuu Daisakusen Srungle,6.14,9080,Jan 1983 - Jan 1984,"2,212 members",TV
